Course,Total,Percent
ENGL150,34147.29,3.353943437
ENGL250,27793.07,2.729832579
PSYC150,25159.67,2.471180292
MATH115,20859.94,2.048861238
MATH110,17394.46,1.708482136
SOCY121,15631.27,1.535301789
COMM121,15532.91,1.52564088
PLSC121,15199.37,1.492880614
BIOL103,8465.97,0.831526734
COMM105,8271.72,0.812447518
